amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,mdd_rank,expense_ratio_pct,expense_rank,raw_score,score,final_rank
102886,0.0117093879842316,-0.20583160785470309,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,40.0,36.0,40.0,35.0,1.51,24.5,36.175,100.0,1
100016,0.026352458116335464,-0.20151706755966936,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,37.0,35.0,39.0,34.0,1.55,32.0,35.85,99.10158949550795,2
119095,0.015204552427132478,-0.0759735711747892,0.048015953637759554,-0.066951174639292,-0.5167775370852656,39.0,33.0,37.0,39.0,1.38,17.0,33.800000000000004,93.43469246717349,3
119599,0.02053064146209893,-0.05718662582817995,0.048824215945539845,0.06200180438267168,-0.5257422117012851,38.0,32.0,36.0,40.0,0.72,5.5,31.424999999999997,86.86938493434693,4
119092,0.0636349475771898,0.03078485095458594,0.0689952982167755,0.009730745001153637,-0.1440161790933726,33.0,31.0,30.0,15.0,1.64,39.5,31.075,85.90186592950934,5
120842,0.06696806255006482,0.07599984804658921,0.0780443887615508,0.01805687420811816,-0.24003511326274884,31.0,30.0,29.0,33.0,1.56,33.0,30.849999999999998,85.27988942639945,6
100025,0.04455091155784441,-0.5670947928476846,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,36.0,39.0,38.0,4.0,0.56,2.0,28.849999999999998,79.75120939875605,7
101207,0.07933120999915699,0.16266076928646772,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,27.0,28.0,27.0,38.0,1.53,28.5,28.575,78.99101589495508,8
101208,0.06504429821332125,-0.8155673679088263,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,32.0,40.0,33.0,3.0,0.79,11.0,28.150000000000002,77.81617138908086,9
119120,0.05885271270380055,-0.22657538662791576,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,34.0,37.0,34.0,5.0,0.77,9.0,28.1,77.67795438838978,10
118636,0.053131554027608274,-0.3566295075143678,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,35.0,38.0,35.0,6.0,0.55,1.0,27.75,76.71043538355218,11
120841,0.13522349085511554,0.4942725378672349,0.13042924450705445,0.036356399022199795,-0.1757361416468729,24.0,24.0,25.0,24.0,1.59,35.0,25.85,71.45818935729096,12
119093,0.07891944369437343,0.12961449795669328,0.08232801295222093,0.02588321244009315,-0.21751396370148224,28.0,29.0,28.0,31.0,0.75,8.0,25.55,70.62888735314445,13
149322,0.13383520958789363,0.4640374492204776,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,25.0,25.0,24.0,16.0,1.54,30.5,24.725,68.34830684174155,14
102887,0.16828673461948984,0.6195175900829828,0.16211256794033255,0.016682689437770827,-0.21539827112383225,20.0,22.0,21.0,30.0,1.64,39.5,24.625,68.07187284035938,15
120844,0.0691037983940288,-0.08874729621557288,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,30.0,34.0,32.0,2.0,0.6,3.0,24.549999999999997,67.86454733932274,16
125498,0.11293660210400969,0.3006119210425478,0.11989100971217971,0.009054412621739154,-0.21117279560132118,26.0,27.0,26.0,29.0,0.78,10.0,24.15,66.75881133379406,17
118634,0.16361396476593382,0.44843400890899127,0.1750072167561127,0.1034966369133759,-0.2334488614483311,21.0,26.0,18.0,32.0,1.53,28.5,23.875,65.9986178299931,18
120507,0.0723241093234459,0.4957233929533123,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,29.0,23.0,31.0,1.0,0.74,7.0,21.8,60.26261230131307,19
120506,0.17072227512921923,0.6488787755249534,0.1625385327998104,0.04189646272811977,-0.1982565826298267,19.0,20.0,20.0,27.0,1.41,19.0,20.25,55.97788527988943,20
118633,0.16262218000296524,0.6452074382933215,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,22.0,21.0,22.0,26.0,0.72,5.5,19.675,54.38838977194196,21
118635,0.15945481185082522,0.664856998549062,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,23.0,19.0,23.0,10.0,0.89,13.0,19.2,53.07532826537664,22
102885,0.18218826089343754,0.8170993373494367,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,18.0,16.0,19.0,7.0,1.57,34.0,18.999999999999996,52.52246026261229,23
120503,0.18771330105513617,0.7979728586052847,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,17.0,17.0,17.0,14.0,1.42,20.0,17.15,47.40843123704215,24
148568,0.22499840384352243,0.9262873467360146,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,14.0,15.0,14.0,19.0,1.52,26.5,16.625,45.95715272978577,25
125497,0.19003613208378556,0.7757902498211205,0.17729754927531766,0.04882040425957739,-0.15200013055606398,16.0,18.0,16.0,18.0,0.92,14.0,16.4,45.335176226675884,26
101206,0.23520488754230384,1.0272133278753695,0.21399784776051212,0.02108631625012803,-0.11291596329323073,12.0,9.0,12.0,9.0,1.6,36.5,14.625,40.428472702142365,27
118632,0.2403119561352478,1.0816591793457042,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,11.0,8.0,11.0,23.0,1.51,24.5,13.475000000000001,37.249481686247414,28
149323,0.29558105232568344,1.1321218524747243,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,8.0,6.0,8.0,22.0,1.61,38.0,13.399999999999999,37.04215618521078,29
119094,0.28192608222062465,0.9982309868636413,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,9.0,11.0,9.0,28.0,1.38,17.0,12.6,34.83068417415342,30
119551,0.2578492084946409,1.2082665673727175,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,10.0,4.0,10.0,17.0,1.54,30.5,12.274999999999999,33.93227366966137,31
149324,0.3226210752841656,0.9497958246616031,0.3005787817097677,0.011455159960520708,-0.31171900300634214,3.0,13.0,2.0,37.0,1.52,26.5,12.225000000000001,33.79405666897029,32
119552,0.21508021785499332,0.9532794968660104,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,15.0,12.0,15.0,11.0,0.66,4.0,12.2,33.72494816862474,33
120504,0.2327744753273051,1.0265242847993001,0.2119482701352573,0.016232169761417007,-0.12588275606922517,13.0,10.0,13.0,12.0,0.8,12.0,12.0,33.1720801658604,34
119598,0.3239808398464554,0.9453082575156095,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,2.0,14.0,1.0,36.0,1.43,21.0,11.049999999999999,30.545957152729784,35
148569,0.31924485848158723,1.2349300257743294,0.2827036785246582,0.018133884083859245,-0.1639674294693263,4.0,3.0,4.0,21.0,1.6,36.5,10.325,28.541810642709052,36
100033,0.30099703552874524,1.093698743534631,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,7.0,7.0,6.0,20.0,1.38,17.0,9.600000000000001,26.537664132688327,37
120843,0.30883325525154603,1.3067439695428409,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,6.0,2.0,5.0,13.0,1.45,22.0,7.8999999999999995,21.838286109191433,38
148567,0.30949920362874206,1.4482911703262598,0.2698375144191807,0.023683558075848623,-0.11265729075028275,5.0,1.0,7.0,8.0,1.46,23.0,7.3999999999999995,20.456116102280582,39
120505,0.3280159948038617,1.1801011976606492,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.0,5.0,3.0,25.0,1.36,15.0,6.9,19.073946095369735,40
